Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.0059    -334.1962       3.1903   338.1
0.0010        -331.0057    -334.2298       3.2241   341.7
0.0015        -331.0058    -334.2617       3.2559   345.1
0.0020        -331.0063    -334.2908       3.2845   348.1
0.0025        -331.0066    -334.3115       3.3049   350.2
0.0030        -331.0071    -334.3186       3.3115   350.9
0.0035        -331.0071    -334.3063       3.2992   349.6
0.0040        -331.0067    -334.2761       3.2693   346.5
0.0045        -331.0052    -334.2403       3.2351   342.8
0.0050        -331.0042    -334.2211       3.2169   340.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.0059    -334.1962       3.1903   338.1
0.0010        -331.0057    -334.2298       3.2241   341.7
0.0015        -331.0058    -334.2617       3.2559   345.1
0.0020        -331.0063    -334.2908       3.2845   348.1
0.0025        -331.0066    -334.3115       3.3049   350.2
0.0030        -331.0071    -334.3186       3.3115   350.9
0.0035        -331.0071    -334.3063       3.2992   349.6
0.0040        -331.0067    -334.2761       3.2693   346.5
0.0045        -331.0052    -334.2403       3.2351   342.8
0.0050        -331.0042    -334.2211       3.2169   340.9
0.0055        -331.0046    -334.2336       3.2290   342.2
0.0060        -331.0058    -334.2715       3.2657   346.1
0.0065        -331.0071    -334.3138       3.3067   350.4
0.0070        -331.0084    -334.3368       3.3284   352.7
0.0075        -331.0084    -334.3240       3.3156   351.4
0.0080        -331.0078    -334.2775       3.2696   346.5
0.0085        -331.0070    -334.2116       3.2046   339.6
0.0090        -331.0059    -334.1477       3.1418   333.0
0.0095        -331.0050    -334.1074       3.1023   328.8
0.0100        -331.0050    -334.1045       3.0995   328.5
0.0105        -331.0049    -334.1409       3.1360   332.3
0.0110        -331.0055    -334.2111       3.2057   339.7
0.0115        -331.0064    -334.2991       3.2927   349.0
0.0120        -331.0073    -334.3835       3.3762   357.8
0.0125        -331.0079    -334.4431       3.4352   364.1
0.0130        -331.0083    -334.4620       3.4537   366.0
0.0135        -331.0084    -334.4331       3.4247   362.9
0.0140        -331.0073    -334.3605       3.3532   355.4
0.0145        -331.0055    -334.2672       3.2617   345.7
0.0150        -331.0036    -334.1888       3.1852   337.6
0.0155        -331.0026    -334.1597       3.1572   334.6
0.0160        -331.0039    -334.1973       3.1934   338.4
0.0165        -331.0063    -334.2859       3.2796   347.6
0.0170        -331.0095    -334.3875       3.3781   358.0
0.0175        -331.0116    -334.4575       3.4458   365.2
0.0180        -331.0128    -334.4660       3.4533   366.0
0.0185        -331.0125    -334.4060       3.3935   359.6
0.0190        -331.0108    -334.2978       3.2870   348.3
0.0195        -331.0088    -334.1840       3.1751   336.5
0.0200        -331.0076    -334.1111       3.1035   328.9
0.0205        -331.0083    -334.1101       3.1018   328.7
0.0210        -331.0107    -334.1794       3.1687   335.8
0.0215        -331.0140    -334.2885       3.2744   347.0
0.0220        -331.0171    -334.3922       3.3751   357.7
0.0225        -331.0189    -334.4513       3.4325   363.8
0.0230        -331.0197    -334.4467       3.4270   363.2
0.0235        -331.0193    -334.3813       3.3619   356.3
0.0240        -331.0186    -334.2769       3.2583   345.3
0.0245        -331.0177    -334.1637       3.1460   333.4
0.0250        -331.0174    -334.0722       3.0548   323.7
0.0255        -331.0177    -334.0211       3.0034   318.3
0.0260        -331.0184    -334.0163       2.9979   317.7
0.0265        -331.0197    -334.0510       3.0313   321.3
0.0270        -331.0213    -334.1069       3.0856   327.0
0.0275        -331.0216    -334.1602       3.1386   332.6
0.0280        -331.0222    -334.1949       3.1727   336.2
0.0285        -331.0217    -334.1989       3.1772   336.7
0.0290        -331.0198    -334.1719       3.1522   334.1
0.0295        -331.0178    -334.1298       3.1120   329.8
0.0300        -331.0154    -334.0922       3.0768   326.1
0.0305        -331.0135    -334.0791       3.0656   324.9
0.0310        -331.0120    -334.1026       3.0906   327.5
0.0315        -331.0109    -334.1636       3.1527   334.1
0.0320        -331.0099    -334.2554       3.2455   343.9
0.0325        -331.0092    -334.3657       3.3565   355.7
0.0330        -331.0084    -334.4768       3.4684   367.6
0.0335        -331.0077    -334.5708       3.5631   377.6
0.0340        -331.0070    -334.6309       3.6239   384.1
0.0345        -331.0063    -334.6452       3.6389   385.6
0.0350        -331.0056    -334.6129       3.6073   382.3
0.0355        -331.0040    -334.5452       3.5412   375.3
0.0360        -331.0027    -334.4657       3.4630   367.0
0.0365        -331.0025    -334.4021       3.3996   360.3
0.0370        -331.0032    -334.3740       3.3709   357.2
0.0375        -331.0052    -334.3861       3.3809   358.3
0.0380        -331.0079    -334.4257       3.4178   362.2
0.0385        -331.0102    -334.4743       3.4640   367.1
0.0390        -331.0128    -334.5183       3.5054   371.5
0.0395        -331.0152    -334.5497       3.5345   374.6
0.0400        -331.0181    -334.5680       3.5499   376.2
0.0405        -331.0207    -334.5752       3.5544   376.7
0.0410        -331.0235    -334.5792       3.5557   376.8
0.0415        -331.0259    -334.5951       3.5692   378.3
0.0420        -331.0292    -334.6448       3.6156   383.2
0.0425        -331.0344    -334.7410       3.7066   392.8
0.0430        -331.0421    -334.8759       3.8337   406.3
0.0435        -331.0514    -335.0189       3.9675   420.5
0.0440        -331.0610    -335.1300       4.0690   431.2
0.0445        -331.0705    -335.1815       4.1111   435.7
0.0450        -331.0799    -335.1700       4.0901   433.5
0.0455        -331.0904    -335.1125       4.0221   426.3
0.0460        -331.1022    -335.0312       3.9290   416.4
0.0465        -331.1145    -334.9442       3.8298   405.9
0.0470        -331.1282    -334.8663       3.7381   396.2
0.0475        -331.1423    -334.8046       3.6624   388.1
0.0480        -331.1570    -334.7648       3.6078   382.3
0.0485        -331.1718    -334.7466       3.5748   378.9
0.0490        -331.1878    -334.7479       3.5601   377.3
0.0495        -331.2041    -334.7600       3.5560   376.9
0.0500        -331.2207    -334.7732       3.5525   376.5
0.0505        -331.2374    -334.7798       3.5425   375.4
0.0510        -331.2536    -334.7781       3.5245   373.5
0.0515        -331.2701    -334.7742       3.5041   371.4
0.0520        -331.2870    -334.7792       3.4922   370.1
0.0525        -331.3046    -334.8026       3.4980   370.7
0.0530        -331.3229    -334.8475       3.5246   373.5
0.0535        -331.3420    -334.9127       3.5707   378.4
0.0540        -331.3625    -334.9907       3.6282   384.5
0.0545        -331.3836    -335.0659       3.6824   390.2
0.0550        -331.4056    -335.1211       3.7155   393.8
0.0555        -331.4279    -335.1413       3.7135   393.5
0.0560        -331.4492    -335.1207       3.6715   389.1
0.0565        -331.4705    -335.0684       3.5979   381.3
0.0570        -331.4914    -335.0045       3.5131   372.3
0.0575        -331.5134    -334.9499       3.4365   364.2
0.0580        -331.5363    -334.9087       3.3724   357.4
0.0585        -331.5590    -334.8691       3.3102   350.8
0.0590        -331.5806    -334.8179       3.2373   343.1
0.0595        -331.6005    -334.7524       3.1519   334.0
0.0600        -331.6193    -334.6875       3.0682   325.2
0.0605        -331.6378    -334.6445       3.0066   318.6
0.0610        -331.6568    -334.6378       2.9810   315.9
0.0615        -331.6757    -334.6669       2.9912   317.0
0.0620        -331.6949    -334.7229       3.0280   320.9
0.0625        -331.7139    -334.7929       3.0790   326.3
0.0630        -331.7326    -334.8668       3.1343   332.2
0.0635        -331.7509    -334.9400       3.1892   338.0
0.0640        -331.7701    -335.0121       3.2420   343.6
0.0645        -331.7898    -335.0792       3.2894   348.6
0.0650        -331.8099    -335.1354       3.3255   352.4
0.0655        -331.8299    -335.1729       3.3430   354.3
0.0660        -331.8496    -335.1864       3.3368   353.6
0.0665        -331.8694    -335.1781       3.3087   350.6
0.0670        -331.8889    -335.1520       3.2630   345.8
0.0675        -331.9082    -335.1131       3.2049   339.6
0.0680        -331.9271    -335.0655       3.1383   332.6
0.0685        -331.9453    -335.0099       3.0646   324.8
0.0690        -331.9625    -334.9506       2.9881   316.7
0.0695        -331.9792    -334.8966       2.9175   309.2
0.0700        -331.9951    -334.8553       2.8602   303.1
0.0705        -332.0108    -334.8319       2.8211   299.0
0.0710        -332.0259    -334.8261       2.8002   296.8
0.0715        -332.0403    -334.8356       2.7953   296.2
0.0720        -332.0538    -334.8602       2.8064   297.4
0.0725        -332.0675    -334.9014       2.8339   300.3
0.0730        -332.0803    -334.9583       2.8781   305.0
0.0735        -332.0929    -335.0338       2.9409   311.7
0.0740        -332.1062    -335.1311       3.0248   320.6
0.0745        -332.1195    -335.2467       3.1272   331.4
0.0750        -332.1346    -335.3711       3.2365   343.0
0.0755        -332.1501    -335.4808       3.3307   353.0
0.0760        -332.1650    -335.5489       3.3839   358.6
0.0765        -332.1795    -335.5616       3.3821   358.4
0.0770        -332.1931    -335.5223       3.3293   352.8
0.0775        -332.2059    -335.4486       3.2427   343.7
0.0780        -332.2186    -335.3638       3.1453   333.3
0.0785        -332.2313    -335.2878       3.0565   323.9
0.0790        -332.2440    -335.2319       2.9879   316.6
0.0795        -332.2562    -335.1996       2.9434   311.9
0.0800        -332.2690    -335.1883       2.9193   309.4
0.0805        -332.2811    -335.1857       2.9046   307.8
0.0810        -332.2926    -335.1800       2.8874   306.0
0.0815        -332.3029    -335.1642       2.8613   303.2
0.0820        -332.3121    -335.1410       2.8289   299.8
0.0825        -332.3206    -335.1204       2.7998   296.7
0.0830        -332.3287    -335.1144       2.7857   295.2
0.0835        -332.3367    -335.1331       2.7965   296.4
0.0840        -332.3443    -335.1806       2.8363   300.6
0.0845        -332.3520    -335.2570       2.9050   307.9
0.0850        -332.3601    -335.3550       2.9949   317.4
0.0855        -332.3689    -335.4579       3.0890   327.4
0.0860        -332.3778    -335.5414       3.1636   335.3
0.0865        -332.3856    -335.5816       3.1960   338.7
0.0870        -332.3919    -335.5710       3.1791   336.9
0.0875        -332.3977    -335.5214       3.1237   331.0
0.0880        -332.4032    -335.4514       3.0482   323.0
0.0885        -332.4090    -335.3789       2.9699   314.7
0.0890        -332.4146    -335.3129       2.8984   307.2
0.0895        -332.4196    -335.2572       2.8376   300.7
0.0900        -332.4240    -335.2146       2.7906   295.7
0.0905        -332.4278    -335.1892       2.7614   292.7
0.0910        -332.4316    -335.1851       2.7535   291.8
0.0915        -332.4354    -335.2004       2.7651   293.0
0.0920        -332.4384    -335.2281       2.7897   295.6
0.0925        -332.4407    -335.2636       2.8230   299.2
0.0930        -332.4420    -335.3083       2.8664   303.8
0.0935        -332.4431    -335.3673       2.9242   309.9
0.0940        -332.4443    -335.4426       2.9983   317.8
0.0945        -332.4461    -335.5310       3.0849   326.9
0.0950        -332.4475    -335.6201       3.1726   336.2
0.0955        -332.4488    -335.6950       3.2462   344.0
0.0960        -332.4491    -335.7430       3.2939   349.1
0.0965        -332.4496    -335.7607       3.3110   350.9
0.0970        -332.4496    -335.7493       3.2997   349.7
0.0975        -332.4493    -335.7174       3.2681   346.3
0.0980        -332.4498    -335.6741       3.2243   341.7
0.0985        -332.4502    -335.6213       3.1710   336.1
0.0990        -332.4509    -335.5576       3.1067   329.2
0.0995        -332.4513    -335.4779       3.0267   320.8
0.1000        -332.4505    -335.3807       2.9302   310.5
0.1005        -332.4492    -335.2749       2.8258   299.5
0.1010        -332.4473    -335.1747       2.7273   289.0
0.1015        -332.4454    -335.0946       2.6491   280.7
0.1020        -332.4437    -335.0433       2.5996   275.5
0.1025        -332.4414    -335.0218       2.5805   273.5
0.1030        -332.4383    -335.0284       2.5902   274.5
0.1035        -332.4342    -335.0616       2.6274   278.4
0.1040        -332.4294    -335.1231       2.6938   285.5
0.1045        -332.4245    -335.2156       2.7911   295.8
0.1050        -332.4195    -335.3328       2.9134   308.7
0.1055        -332.4146    -335.4572       3.0426   322.4
0.1060        -332.4093    -335.5616       3.1523   334.1
0.1065        -332.4023    -335.6197       3.2174   341.0
0.1070        -332.3940    -335.6215       3.2275   342.0
0.1075        -332.3847    -335.5770       3.1924   338.3
0.1080        -332.3751    -335.5111       3.1360   332.3
0.1085        -332.3663    -335.4514       3.0851   327.0
0.1090        -332.3583    -335.4154       3.0571   324.0
0.1095        -332.3508    -335.4062       3.0554   323.8
0.1100        -332.3433    -335.4142       3.0709   325.5
0.1105        -332.3352    -335.4251       3.0898   327.5
0.1110        -332.3266    -335.4287       3.1022   328.8
0.1115        -332.3175    -335.4219       3.1044   329.0
0.1120        -332.3080    -335.4064       3.0983   328.4
0.1125        -332.2989    -335.3871       3.0882   327.3
0.1130        -332.2892    -335.3677       3.0785   326.3
0.1135        -332.2790    -335.3556       3.0766   326.0
0.1140        -332.2686    -335.3607       3.0922   327.7
0.1145        -332.2577    -335.3942       3.1364   332.4
0.1150        -332.2479    -335.4636       3.2157   340.8
0.1155        -332.2388    -335.5593       3.3205   351.9
0.1160        -332.2295    -335.6559       3.4264   363.1
0.1165        -332.2201    -335.7243       3.5042   371.4
0.1170        -332.2096    -335.7423       3.5327   374.4
0.1175        -332.1978    -335.7060       3.5081   371.8
0.1180        -332.1866    -335.6297       3.4431   364.9
0.1185        -332.1754    -335.5314       3.3560   355.7
0.1190        -332.1656    -335.4295       3.2639   345.9
0.1195        -332.1562    -335.3329       3.1767   336.7
0.1200        -332.1470    -335.2455       3.0985   328.4
0.1205        -332.1382    -335.1687       3.0305   321.2
0.1210        -332.1292    -335.1007       2.9715   314.9
0.1215        -332.1196    -335.0406       2.9211   309.6
0.1220        -332.1099    -334.9929       2.8830   305.5
0.1225        -332.0998    -334.9621       2.8622   303.3
0.1230        -332.0897    -334.9526       2.8628   303.4
0.1235        -332.0793    -334.9645       2.8853   305.8
0.1240        -332.0684    -334.9955       2.9271   310.2
0.1245        -332.0566    -335.0435       2.9869   316.5
0.1250        -332.0441    -335.1108       3.0666   325.0
0.1255        -332.0315    -335.1996       3.1681   335.7
0.1260        -332.0189    -335.3055       3.2866   348.3
0.1265        -332.0066    -335.4140       3.4074   361.1
0.1270        -331.9935    -335.5044       3.5109   372.1
0.1275        -331.9800    -335.5601       3.5802   379.4
0.1280        -331.9659    -335.5725       3.6066   382.2
0.1285        -331.9514    -335.5459       3.5945   380.9
0.1290        -331.9372    -335.4965       3.5592   377.2
0.1295        -331.9238    -335.4436       3.5198   373.0
0.1300        -331.9118    -335.3997       3.4879   369.6
0.1305        -331.9008    -335.3660       3.4652   367.2
0.1310        -331.8900    -335.3362       3.4462   365.2
0.1315        -331.8792    -335.3030       3.4238   362.8
0.1320        -331.8678    -335.2655       3.3976   360.1
0.1325        -331.8566    -335.2333       3.3767   357.9
0.1330        -331.8463    -335.2189       3.3726   357.4
0.1335        -331.8364    -335.2261       3.3896   359.2
0.1340        -331.8273    -335.2503       3.4230   362.8
0.1345        -331.8184    -335.2796       3.4613   366.8
0.1350        -331.8089    -335.3028       3.4939   370.3
0.1355        -331.7991    -335.3197       3.5206   373.1
0.1360        -331.7898    -335.3382       3.5484   376.1
0.1365        -331.7814    -335.3614       3.5800   379.4
0.1370        -331.7746    -335.3816       3.6070   382.3
0.1375        -331.7679    -335.3784       3.6104   382.6
0.1380        -331.7606    -335.3349       3.5743   378.8
0.1385        -331.7528    -335.2513       3.4985   370.8
0.1390        -331.7450    -335.1431       3.3981   360.1
0.1395        -331.7375    -335.0339       3.2963   349.3
0.1400        -331.7312    -334.9433       3.2122   340.4
0.1405        -331.7257    -334.8786       3.1528   334.1
0.1410        -331.7202    -334.8362       3.1160   330.2
0.1415        -331.7148    -334.8105       3.0957   328.1
0.1420        -331.7092    -334.7943       3.0851   326.9
0.1425        -331.7031    -334.7813       3.0782   326.2
0.1430        -331.6967    -334.7675       3.0708   325.4
0.1435        -331.6898    -334.7518       3.0621   324.5
0.1440        -331.6826    -334.7391       3.0565   323.9
0.1445        -331.6748    -334.7373       3.0625   324.6
0.1450        -331.6666    -334.7579       3.0913   327.6
0.1455        -331.6586    -334.8127       3.1541   334.3
0.1460        -331.6508    -334.9091       3.2583   345.3
0.1465        -331.6443    -335.0416       3.3973   360.0
0.1470        -331.6390    -335.1806       3.5416   375.3
0.1475        -331.6326    -335.2819       3.6492   386.7
0.1480        -331.6249    -335.3119       3.6871   390.7
0.1485        -331.6161    -335.2629       3.6468   386.5
0.1490        -331.6067    -335.1543       3.5477   376.0
0.1495        -331.5986    -335.0238       3.4252   363.0
0.1500        -331.5915    -334.9043       3.3128   351.1
0.1505        -331.5854    -334.8181       3.2327   342.6
0.1510        -331.5801    -334.7746       3.1945   338.5
0.1515        -331.5750    -334.7715       3.1965   338.8
0.1520        -331.5706    -334.7982       3.2276   342.1
0.1525        -331.5657    -334.8365       3.2708   346.6
0.1530        -331.5607    -334.8699       3.3092   350.7
0.1535        -331.5557    -334.8855       3.3299   352.9
0.1540        -331.5498    -334.8757       3.3259   352.5
0.1545        -331.5430    -334.8451       3.3021   349.9
0.1550        -331.5360    -334.8127       3.2767   347.3
0.1555        -331.5287    -334.8067       3.2780   347.4
0.1560        -331.5226    -334.8563       3.3337   353.3
0.1565        -331.5187    -334.9692       3.4505   365.7
0.1570        -331.5167    -335.1196       3.6029   381.8
0.1575        -331.5140    -335.2580       3.7439   396.8
0.1580        -331.5103    -335.3439       3.8336   406.3
0.1585        -331.5054    -335.3634       3.8580   408.9
0.1590        -331.5004    -335.3301       3.8298   405.9
0.1595        -331.4968    -335.2706       3.7737   399.9
0.1600        -331.4941    -335.2085       3.7144   393.6
0.1605        -331.4930    -335.1633       3.6703   389.0
0.1610        -331.4930    -335.1416       3.6486   386.7
0.1615        -331.4932    -335.1418       3.6486   386.7
0.1620        -331.4945    -335.1600       3.6655   388.5
0.1625        -331.4966    -335.1893       3.6927   391.3
0.1630        -331.4989    -335.2227       3.7237   394.6
0.1635        -331.5021    -335.2542       3.7521   397.6
0.1640        -331.5055    -335.2792       3.7737   399.9
0.1645        -331.5091    -335.2996       3.7905   401.7
0.1650        -331.5131    -335.3274       3.8143   404.2
0.1655        -331.5177    -335.3806       3.8629   409.4
0.1660        -331.5246    -335.4740       3.9494   418.5
0.1665        -331.5346    -335.6050       4.0704   431.4
0.1670        -331.5472    -335.7433       4.1961   444.7
0.1675        -331.5614    -335.8431       4.2818   453.8
0.1680        -331.5751    -335.8679       4.2928   454.9
0.1685        -331.5885    -335.8107       4.2222   447.5
0.1690        -331.6016    -335.6975       4.0959   434.1
0.1695        -331.6154    -335.5754       3.9600   419.7
0.1700        -331.6316    -335.4882       3.8566   408.7
0.1705        -331.6501    -335.4537       3.8037   403.1
0.1710        -331.6705    -335.4616       3.7911   401.8
0.1715        -331.6910    -335.4843       3.7933   402.0
0.1720        -331.7120    -335.4969       3.7849   401.1
0.1725        -331.7328    -335.4855       3.7527   397.7
0.1730        -331.7538    -335.4485       3.6947   391.6
0.1735        -331.7745    -335.3897       3.6152   383.1
0.1740        -331.7947    -335.3211       3.5264   373.7
0.1745        -331.8147    -335.2624       3.4477   365.4
0.1750        -331.8351    -335.2336       3.3985   360.2
0.1755        -331.8560    -335.2469       3.3910   359.4
0.1760        -331.8776    -335.3056       3.4280   363.3
0.1765        -331.9006    -335.4020       3.5014   371.1
0.1770        -331.9248    -335.5188       3.5940   380.9
0.1775        -331.9503    -335.6320       3.6817   390.2
0.1780        -331.9763    -335.7142       3.7379   396.1
0.1785        -332.0022    -335.7469       3.7447   396.9
0.1790        -332.0273    -335.7296       3.7023   392.4
0.1795        -332.0515    -335.6847       3.6332   385.0
0.1800        -332.0761    -335.6483       3.5723   378.6
0.1805        -332.1022    -335.6484       3.5463   375.8
0.1810        -332.1301    -335.6908       3.5608   377.4
0.1815        -332.1590    -335.7612       3.6022   381.8
0.1820        -332.1887    -335.8372       3.6485   386.7
0.1825        -332.2186    -335.8969       3.6782   389.8
0.1830        -332.2486    -335.9274       3.6788   389.9
0.1835        -332.2778    -335.9294       3.6516   387.0
0.1840        -332.3073    -335.9189       3.6116   382.8
0.1845        -332.3369    -335.9164       3.5794   379.3
0.1850        -332.3680    -335.9393       3.5712   378.5
0.1855        -332.4007    -335.9900       3.5893   380.4
0.1860        -332.4341    -336.0549       3.6208   383.7
0.1865        -332.4684    -336.1160       3.6476   386.6
0.1870        -332.5030    -336.1545       3.6516   387.0
0.1875        -332.5369    -336.1599       3.6230   384.0
0.1880        -332.5712    -336.1343       3.5631   377.6
0.1885        -332.6048    -336.0835       3.4787   368.7
0.1890        -332.6380    -336.0170       3.3791   358.1
0.1895        -332.6701    -335.9427       3.2727   346.8
0.1900        -332.7009    -335.8685       3.1676   335.7
0.1905        -332.7307    -335.8057       3.0750   325.9
0.1910        -332.7602    -335.7654       3.0053   318.5
0.1915        -332.7894    -335.7508       2.9614   313.8
0.1920        -332.8185    -335.7538       2.9353   311.1
0.1925        -332.8469    -335.7556       2.9087   308.3
0.1930        -332.8738    -335.7401       2.8663   303.8
0.1935        -332.8986    -335.7039       2.8053   297.3
0.1940        -332.9217    -335.6608       2.7390   290.3
0.1945        -332.9445    -335.6333       2.6888   285.0
0.1950        -332.9670    -335.6372       2.6702   283.0
0.1955        -332.9897    -335.6763       2.6866   284.7
0.1960        -333.0127    -335.7425       2.7299   289.3
0.1965        -333.0352    -335.8206       2.7854   295.2
0.1970        -333.0574    -335.8974       2.8400   301.0
0.1975        -333.0793    -335.9641       2.8849   305.7
0.1980        -333.1008    -336.0175       2.9167   309.1
0.1985        -333.1222    -336.0568       2.9347   311.0
0.1990        -333.1432    -336.0818       2.9386   311.4
0.1995        -333.1636    -336.0939       2.9303   310.5
0.2000        -333.1835    -336.0986       2.9151   308.9
0.2005        -333.2027    -336.1017       2.8990   307.2
0.2010        -333.2218    -336.1095       2.8878   306.0
0.2015        -333.2403    -336.1255       2.8852   305.8
0.2020        -333.2588    -336.1509       2.8921   306.5
0.2025        -333.2769    -336.1840       2.9071   308.1
0.2030        -333.2947    -336.2221       2.9274   310.2
0.2035        -333.3119    -336.2637       2.9518   312.8
0.2040        -333.3294    -336.3110       2.9817   316.0
0.2045        -333.3465    -336.3617       3.0152   319.5
0.2050        -333.3637    -336.4125       3.0488   323.1
0.2055        -333.3806    -336.4598       3.0792   326.3
0.2060        -333.3974    -336.5013       3.1039   328.9
0.2065        -333.4141    -336.5390       3.1249   331.2
0.2070        -333.4310    -336.5765       3.1455   333.3
0.2075        -333.4479    -336.6130       3.1650   335.4
0.2080        -333.4651    -336.6454       3.1803   337.0
0.2085        -333.4820    -336.6693       3.1873   337.8
0.2090        -333.4990    -336.6816       3.1826   337.3
0.2095        -333.5154    -336.6798       3.1644   335.4
0.2100        -333.5322    -336.6638       3.1316   331.9
0.2105        -333.5483    -336.6309       3.0827   326.7
0.2110        -333.5634    -336.5813       3.0179   319.8
0.2115        -333.5776    -336.5200       2.9423   311.8
0.2120        -333.5911    -336.4568       2.8657   303.7
0.2125        -333.6040    -336.4032       2.7992   296.7
0.2130        -333.6162    -336.3693       2.7531   291.8
0.2135        -333.6285    -336.3604       2.7318   289.5
0.2140        -333.6404    -336.3715       2.7311   289.4
0.2145        -333.6521    -336.3929       2.7409   290.5
0.2150        -333.6625    -336.4133       2.7509   291.5
0.2155        -333.6721    -336.4283       2.7562   292.1
0.2160        -333.6809    -336.4392       2.7583   292.3
0.2165        -333.6892    -336.4510       2.7618   292.7
0.2170        -333.6974    -336.4694       2.7720   293.8
0.2175        -333.7054    -336.4959       2.7906   295.7
0.2180        -333.7132    -336.5279       2.8147   298.3
0.2185        -333.7207    -336.5584       2.8377   300.7
0.2190        -333.7276    -336.5784       2.8508   302.1
0.2195        -333.7340    -336.5803       2.8463   301.6
0.2200        -333.7393    -336.5603       2.8210   299.0
0.2205        -333.7439    -336.5233       2.7793   294.5
0.2210        -333.7477    -336.4788       2.7310   289.4
0.2215        -333.7513    -336.4380       2.6868   284.7
0.2220        -333.7542    -336.4098       2.6556   281.4
0.2225        -333.7573    -336.3986       2.6413   279.9
0.2230        -333.7599    -336.4000       2.6402   279.8
0.2235        -333.7620    -336.4048       2.6428   280.1
0.2240        -333.7633    -336.4015       2.6382   279.6
0.2245        -333.7631    -336.3839       2.6208   277.8
0.2250        -333.7619    -336.3573       2.5954   275.1
0.2255        -333.7596    -336.3339       2.5742   272.8
0.2260        -333.7573    -336.3287       2.5714   272.5
0.2265        -333.7548    -336.3501       2.5952   275.0
0.2270        -333.7518    -336.3987       2.6468   280.5
0.2275        -333.7485    -336.4709       2.7224   288.5
0.2280        -333.7449    -336.5570       2.8121   298.0
0.2285        -333.7407    -336.6419       2.9013   307.5
0.2290        -333.7359    -336.7108       2.9749   315.3
0.2295        -333.7308    -336.7484       3.0176   319.8
0.2300        -333.7244    -336.7423       3.0180   319.8
0.2305        -333.7168    -336.6944       2.9776   315.6
0.2310        -333.7083    -336.6194       2.9110   308.5
0.2315        -333.6997    -336.5412       2.8414   301.1
0.2320        -333.6915    -336.4836       2.7921   295.9
0.2325        -333.6839    -336.4593       2.7754   294.1
0.2330        -333.6769    -336.4638       2.7868   295.3
0.2335        -333.6692    -336.4779       2.8087   297.7
0.2340        -333.6607    -336.4811       2.8204   298.9
0.2345        -333.6511    -336.4598       2.8088   297.7
0.2350        -333.6407    -336.4108       2.7702   293.6
0.2355        -333.6295    -336.3400       2.7105   287.3
0.2360        -333.6177    -336.2600       2.6423   280.0
0.2365        -333.6053    -336.1872       2.5820   273.6
0.2370        -333.5927    -336.1387       2.5460   269.8
0.2375        -333.5803    -336.1266       2.5463   269.8
0.2380        -333.5678    -336.1539       2.5861   274.1
0.2385        -333.5548    -336.2124       2.6576   281.6
0.2390        -333.5414    -336.2846       2.7432   290.7
0.2395        -333.5268    -336.3470       2.8201   298.9
0.2400        -333.5107    -336.3773       2.8666   303.8
0.2405        -333.4929    -336.3633       2.8703   304.2
0.2410        -333.4740    -336.3100       2.8359   300.5
0.2415        -333.4548    -336.2361       2.7813   294.8
0.2420        -333.4357    -336.1635       2.7278   289.1
0.2425        -333.4171    -336.1088       2.6917   285.3
0.2430        -333.3989    -336.0773       2.6784   283.8
0.2435        -333.3805    -336.0618       2.6813   284.2
0.2440        -333.3614    -336.0487       2.6872   284.8
0.2445        -333.3413    -336.0255       2.6841   284.5
0.2450        -333.3198    -335.9865       2.6667   282.6
0.2455        -333.2976    -335.9368       2.6392   279.7
0.2460        -333.2748    -335.8880       2.6132   276.9
0.2465        -333.2519    -335.8537       2.6018   275.7
0.2470        -333.2289    -335.8425       2.6136   277.0
0.2475        -333.2053    -335.8561       2.6507   280.9
0.2480        -333.1810    -335.8896       2.7086   287.1
0.2485        -333.1557    -335.9338       2.7781   294.4
0.2490        -333.1290    -335.9775       2.8485   301.9
0.2495        -333.1013    -336.0117       2.9104   308.4
0.2500        -333.0719    -336.0295       2.9576   313.4
0.2505        -333.0416    -336.0326       2.9910   317.0
0.2510        -333.0104    -336.0282       3.0178   319.8
0.2515        -332.9792    -336.0258       3.0466   322.9
0.2520        -332.9474    -336.0300       3.0826   326.7
0.2525        -332.9154    -336.0414       3.1260   331.3
0.2530        -332.8828    -336.0541       3.1714   336.1
0.2535        -332.8498    -336.0604       3.2106   340.2
0.2540        -332.8166    -336.0513       3.2346   342.8
0.2545        -332.7821    -336.0208       3.2387   343.2
0.2550        -332.7478    -335.9735       3.2257   341.9
0.2555        -332.7126    -335.9194       3.2068   339.8
0.2560        -332.6778    -335.8776       3.1998   339.1
0.2565        -332.6432    -335.8638       3.2207   341.3
0.2570        -332.6094    -335.8846       3.2752   347.1
0.2575        -332.5758    -335.9312       3.3554   355.6
0.2580        -332.5412    -335.9837       3.4425   364.8
0.2585        -332.5057    -336.0220       3.5163   372.6
0.2590        -332.4693    -336.0307       3.5614   377.4
0.2595        -332.4320    -336.0044       3.5724   378.6
0.2600        -332.3944    -335.9524       3.5579   377.1
0.2605        -332.3576    -335.8933       3.5358   374.7
0.2610        -332.3220    -335.8448       3.5228   373.3
0.2615        -332.2877    -335.8151       3.5274   373.8
0.2620        -332.2539    -335.8003       3.5464   375.8
0.2625        -332.2200    -335.7919       3.5718   378.5
