       Step     Time          Energy         fmax
GPMin:    0 12:13:33     -615.178314        0.3796
GPMin:    1 12:13:34     -616.465673        0.3057
GPMin:    2 12:13:35     -617.343890        0.2535
GPMin:    3 12:13:36     -618.084881        0.2079
GPMin:    4 12:13:37     -618.718813        0.1695
GPMin:    5 12:13:38     -619.257097        0.1467
GPMin:    6 12:13:40     -619.701954        0.1121
GPMin:    7 12:13:42     -620.054111        0.0984
GPMin:    8 12:13:45     -620.319857        0.0838
GPMin:    9 12:13:49     -620.510627        0.0810
GPMin:   10 12:13:54     -620.636664        0.0743
GPMin:   11 12:14:00     -620.714152        0.0519
GPMin:   12 12:14:07     -620.755824        0.0334
GPMin:   13 12:14:15     -620.772142        0.0230
GPMin:   14 12:14:25     -620.777355        0.0224
GPMin:   15 12:14:36     -620.779471        0.0134
