       Step     Time          Energy         fmax
GPMin:    0 12:09:22     -416.232061        0.4058
GPMin:    1 12:09:22     -417.315341        0.3084
GPMin:    2 12:09:23     -418.018696        0.2372
GPMin:    3 12:09:23     -418.581771        0.1840
GPMin:    4 12:09:24     -419.023511        0.1640
GPMin:    5 12:09:24     -419.347984        0.1132
GPMin:    6 12:09:25     -419.561136        0.0914
GPMin:    7 12:09:26     -419.678181        0.0650
GPMin:    8 12:09:27     -419.731126        0.0605
GPMin:    9 12:09:28     -419.749116        0.0368
GPMin:   10 12:09:30     -419.753901        0.0292
GPMin:   11 12:09:32     -419.756840        0.0222
GPMin:   12 12:09:34     -419.759663        0.0230
GPMin:   13 12:09:37     -419.761594        0.0209
GPMin:   14 12:09:40     -419.762358        0.0107
