       Step     Time          Energy         fmax
MDMin:    0 12:58:56     -979.575206        0.4015
MDMin:    1 12:58:57     -979.927069        0.3884
MDMin:    2 12:58:58     -980.890823        0.3492
       Step     Time          Energy         fmax
MDMin:    0 12:59:50     -979.575206        0.4015
MDMin:    1 12:59:51     -979.927069        0.3884
MDMin:    2 12:59:53     -980.890823        0.3492
MDMin:    3 12:59:54     -982.239022        0.2879
MDMin:    4 12:59:55     -983.736524        0.2170
MDMin:    5 12:59:56     -985.229072        0.1615
MDMin:    6 12:59:58     -986.610382        0.1335
MDMin:    7 12:59:59     -987.772054        0.0930
MDMin:    8 13:00:00     -988.593805        0.0700
MDMin:    9 13:00:01     -988.817664        0.2577
MDMin:   10 13:00:02     -988.869509        0.2067
MDMin:   11 13:00:04     -988.959571        0.0827
MDMin:   12 13:00:05     -988.983723        0.0650
MDMin:   13 13:00:06     -988.986561        0.0545
MDMin:   14 13:00:07     -988.992492        0.0276
MDMin:   11 13:00:04     -988.959571        0.0827
MDMin:   12 13:00:05     -988.983723        0.0650
MDMin:   13 13:00:06     -988.986561        0.0545
MDMin:   14 13:00:07     -988.992492        0.0276
MDMin:   15 13:00:09     -988.998141        0.0227
MDMin:   16 13:00:10     -989.003754        0.0204
MDMin:   17 13:00:11     -989.009748        0.0191
