       Step     Time          Energy         fmax
GPMin:    0 12:09:10      -62.814476        0.4089
GPMin:    1 12:09:10      -62.921349        0.2511
GPMin:    2 12:09:10      -62.937374        0.6266
GPMin:    3 12:09:10      -62.941944        0.2755
GPMin:    4 12:09:10      -62.953604        0.3117
GPMin:    5 12:09:10      -63.007079        0.0824
GPMin:    6 12:09:11      -63.007862        0.0759
GPMin:    7 12:09:11      -63.009702        0.0399
GPMin:    8 12:09:11      -63.009874        0.0296
GPMin:    9 12:09:12      -63.011067        0.0046
