       Step     Time          Energy         fmax
GPMin:    0 12:09:15     -266.527448        0.4176
GPMin:    1 12:09:15     -267.400065        0.2985
GPMin:    2 12:09:15     -267.918544        0.2098
GPMin:    3 12:09:16     -268.269812        0.1802
GPMin:    4 12:09:16     -268.467718        0.0983
GPMin:    5 12:09:16     -268.546135        0.0623
GPMin:    6 12:09:17     -268.565213        0.0372
GPMin:    7 12:09:17     -268.569486        0.0307
GPMin:    8 12:09:18     -268.573644        0.0225
GPMin:    9 12:09:18     -268.575060        0.0140
