       Step     Time          Energy         fmax
GPMin:    0 12:10:02     -207.947179        0.4125
GPMin:    1 12:10:02     -208.710703        0.2806
GPMin:    2 12:10:03     -209.123539        0.1894
GPMin:    3 12:10:03     -209.343777        0.0983
GPMin:    4 12:10:03     -209.415199        0.0516
GPMin:    5 12:10:03     -209.426419        0.0376
GPMin:    6 12:10:04     -209.429470        0.0242
GPMin:    7 12:10:04     -209.431869        0.0120
       Step     Time          Energy         fmax
GPMin:    0 12:10:08     -207.947179        0.4125
GPMin:    1 12:10:09     -208.710703        0.2806
GPMin:    2 12:10:09     -209.123539        0.1894
GPMin:    3 12:10:10     -209.343777        0.0983
GPMin:    4 12:10:10     -209.415199        0.0516
GPMin:    5 12:10:11     -209.426419        0.0376
GPMin:    6 12:10:11     -209.429470        0.0242
GPMin:    7 12:10:12     -209.431869        0.0120
