#   No  Energy (eV)          osc        osc x        osc y        osc z
    69      3.88791 3.574885e-03 1.055387e-02 1.278614e-04 4.292328e-05
    70      3.91204 6.195717e-04 1.353144e-03 2.656888e-04 2.398821e-04
    71      3.93387 8.762026e-03 1.040590e-04 1.539644e-02 1.078558e-02
    72      3.94870 3.075224e-03 8.882374e-06 7.843989e-03 1.372800e-03
    73      3.96636 5.479938e-02 1.523238e-05 7.730991e-02 8.707299e-02
    74      3.97360 6.137902e-02 1.617319e-05 9.648312e-02 8.763778e-02
    75      4.00546 1.672547e-02 1.190691e-02 1.339285e-02 2.487666e-02
    76      4.01120 2.095572e-02 5.258451e-04 3.963520e-02 2.270610e-02
    77      4.01493 7.070470e-02 5.417963e-05 8.409369e-02 1.279662e-01
    78      4.02089 2.873570e-02 2.367587e-03 7.063853e-02 1.320098e-02
    79      4.03697 1.061057e-03 8.624265e-06 2.213200e-03 9.613470e-04
    80      4.04312 9.936110e-03 9.555505e-03 1.445998e-02 5.792839e-03
    81      4.04650 1.160310e-02 1.526362e-03 1.384652e-02 1.943641e-02
    82      4.04865 2.958434e-02 3.467077e-02 1.105205e-02 4.303019e-02
    83      4.05161 8.412497e-03 5.671897e-03 1.932116e-02 2.444311e-04
    84      4.08946 2.278358e-03 4.067514e-05 3.601935e-03 3.192463e-03
    85      4.12193 9.757317e-03 1.380554e-02 1.214855e-02 3.317860e-03
    86      4.12617 1.529947e-02 4.768947e-04 1.799621e-02 2.742529e-02
    87      4.13001 1.448179e-02 1.490031e-03 1.061484e-02 3.134049e-02
    88      4.13472 1.097475e-02 4.826185e-03 2.373364e-02 4.364441e-03
    89      4.14516 1.629053e-02 4.434613e-04 2.346949e-02 2.495865e-02
    90      4.15088 3.070873e-04 1.169190e-05 9.956240e-05 8.100077e-04
    91      4.17115 4.382005e-04 5.546356e-06 4.915490e-04 8.175060e-04
    92      4.17823 6.006852e-03 2.015739e-05 9.306129e-03 8.694270e-03
