# Photoabsorption spectrum from linear response TD-DFT
# GPAW version: 19.8.1
# Gauss folded, width=0.06 [eV]
# length form# om [eV]     osz          osz x       osz y       osz z
   1.00169 3.3692869e-05 5.0165436e-06 4.4464667e-05 5.1597397e-05
   1.01669 8.9779504e-05 1.3219979e-05 1.1918122e-04 1.3693732e-04
   1.03169 2.2478122e-04 3.2727778e-05 3.0015432e-04 3.4146156e-04
   1.04669 5.2879468e-04 7.6113549e-05 7.1027249e-04 7.9999799e-04
   1.06169 1.1688506e-03 1.6629041e-04 1.5792417e-03 1.7610195e-03
   1.07669 2.4275958e-03 3.4129689e-04 3.2992487e-03 3.6422417e-03
   1.09169 4.7373978e-03 6.5804780e-04 6.4762550e-03 7.0778907e-03
   1.10669 8.6866051e-03 1.1919078e-03 1.1944690e-02 1.2923217e-02
   1.12169 1.4966067e-02 2.0280946e-03 2.0699868e-02 2.2170239e-02
   1.13669 2.4227766e-02 3.2418597e-03 3.3705569e-02 3.5735870e-02
   1.15169 3.6852580e-02 4.8681173e-03 5.1567602e-02 5.4122019e-02
   1.16669 5.2671060e-02 6.8673489e-03 7.4129868e-02 7.7015963e-02
   1.18169 7.0733771e-02 9.1007933e-03 1.0012684e-01 1.0297368e-01
   1.19669 8.9255144e-02 1.1330075e-02 1.2707171e-01 1.2936365e-01
   1.21169 1.0582609e-01 1.3251105e-02 1.5152654e-01 1.5270062e-01
   1.22669 1.1789815e-01 1.4559334e-02 1.6977382e-01 1.6936130e-01
   1.24169 1.2341796e-01 1.5028270e-02 1.7872949e-01 1.7649613e-01
   1.25669 1.2139762e-01 1.4573691e-02 1.7679390e-01 1.7282528e-01
   1.27169 1.1220377e-01 1.3278616e-02 1.6431886e-01 1.5901384e-01
   1.28669 9.7449217e-02 1.1368966e-02 1.4350346e-01 1.3747523e-01
   1.30169 7.9531216e-02 9.1499805e-03 1.1776114e-01 1.1168253e-01
   1.31669 6.0998060e-02 6.9285734e-03 9.0807949e-02 8.5257656e-02
   1.33169 4.3973495e-02 4.9499819e-03 6.5805645e-02 6.1164859e-02
   1.34669 2.9812383e-02 3.3681379e-03 4.4823333e-02 4.1245678e-02
   1.36169 1.9043335e-02 2.2545494e-03 2.8714404e-02 2.6161052e-02
   1.37669 1.1540926e-02 1.6377106e-03 1.7336661e-02 1.5648407e-02
   1.39169 6.8104389e-03 1.5585153e-03 9.9489558e-03 8.9238457e-03
   1.40669 4.2715687e-03 2.1259671e-03 5.6168405e-03 5.0718986e-03
   1.42169 3.4704203e-03 3.5578172e-03 3.5218067e-03 3.3316372e-03
   1.43669 4.1973068e-03 6.1897790e-03 3.1431695e-03 3.2589718e-03
   1.45169 6.5177779e-03 1.0436081e-02 4.3305044e-03 4.7867488e-03
