# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       2.88657986e-15     6.422890086924e-03     1.370700662973e-03     2.066732157173e-03
          1.24024120      -1.11022302e-15     6.524917444938e-03     1.370573466035e-03     2.066543101449e-03
          2.48048240       9.99200722e-16     6.620878266448e-03     1.370332185516e-03     2.066151660815e-03
          3.72072360      -2.60902411e-15     6.712085881571e-03     1.369951590480e-03     2.065551390384e-03
          4.96096480       3.66373598e-15     6.798710221464e-03     1.369412326888e-03     2.064735524664e-03
          6.20120600      -1.66533454e-16     6.878812365885e-03     1.368625220369e-03     2.063604636408e-03
          7.44144720       7.21644966e-16     6.951724725248e-03     1.367484684460e-03     2.062039146130e-03
          8.68168840      -2.33146835e-15     7.016625478679e-03     1.366008485768e-03     2.060071208744e-03
          9.92192960       8.32667268e-16     7.071561313753e-03     1.364266780627e-03     2.057785778057e-03
         11.16217080       2.77555756e-16     7.116038896477e-03     1.362267819577e-03     2.055196935004e-03
         12.40241200       1.05471187e-15     7.149728568042e-03     1.360028678436e-03     2.052338372652e-03
         13.64265320       1.72084569e-15     7.172124353014e-03     1.357612542666e-03     2.049287702008e-03
         14.88289440       4.44089210e-16     7.183270552581e-03     1.355055361737e-03     2.046089215668e-03
         16.12313560      -6.10622664e-16     7.183456877215e-03     1.352395083149e-03     2.042793022817e-03
         17.36337680      -1.88737914e-15     7.173020697593e-03     1.349698173113e-03     2.039480119812e-03
         18.60361800       4.44089210e-16     7.152277162959e-03     1.347061608973e-03     2.036266441648e-03
         19.84385921       1.11022302e-15     7.121904288654e-03     1.344566008960e-03     2.033245872020e-03
         21.08410041       9.43689571e-16     7.082654886554e-03     1.342267505342e-03     2.030480457488e-03
         22.32434161      -6.10622664e-16     7.035427895442e-03     1.340215624852e-03     2.028027909907e-03
         23.56458281      -4.21884749e-15     6.981132972793e-03     1.338461110629e-03     2.025944114976e-03
         24.80482401       1.60982339e-15     6.920656933737e-03     1.337059109376e-03     2.024291149763e-03
         26.04506521       4.44089210e-15     6.854971233967e-03     1.336057438639e-03     2.023121340912e-03
         27.28530641       5.55111512e-17     6.785041534396e-03     1.335489200958e-03     2.022471065326e-03
         28.52554761      -2.22044605e-16     6.711923269460e-03     1.335379168799e-03     2.022368191080e-03
         29.76578881      -2.16493490e-15     6.636618546269e-03     1.335745623273e-03     2.022833777888e-03
         31.00603001      -5.60662627e-15     6.560125788964e-03     1.336602064729e-03     2.023881976138e-03
         32.24627121       7.77156117e-16     6.483353132150e-03     1.337955384161e-03     2.025511377569e-03
         33.48651241       1.22124533e-15     6.407236864002e-03     1.339797098687e-03     2.027706357900e-03
         34.72675361       2.94209102e-15     6.332679834983e-03     1.342106786364e-03     2.030443272835e-03
         35.96699481      -1.44328993e-15     6.260560955885e-03     1.344862809109e-03     2.033699714401e-03
         37.20723601       2.66453526e-15     6.191701493574e-03     1.348053654587e-03     2.037459897544e-03
         38.44747721      -1.33226763e-15     6.126840946907e-03     1.351651511067e-03     2.041690813677e-03
         39.68771841       2.22044605e-16     6.066683414325e-03     1.355610241646e-03     2.046334078411e-03
         40.92795961       3.88578059e-16     6.011868590381e-03     1.359863935411e-03     2.051308555396e-03
         42.16820081       5.55111512e-16     5.962940687725e-03     1.364326978017e-03     2.056529343667e-03
         43.40844201       9.43689571e-16     5.920327383038e-03     1.368930049052e-03     2.061933618995e-03
         44.64868321       1.60982339e-15     5.884435965907e-03     1.373624977900e-03     2.067463274427e-03
         45.88892441       1.27675648e-15     5.855640295009e-03     1.378396379675e-03     2.073082123177e-03
         47.12916561       1.94289029e-15     5.834245340953e-03     1.383216638496e-03     2.078750902671e-03
         48.36940681       0.00000000e+00     5.820465744264e-03     1.388010176878e-03     2.084391402825e-03
         49.60964801       3.66373598e-15     5.814430002808e-03     1.392679348058e-03     2.089909867744e-03
         50.84988921      -2.99760217e-15     5.816124079823e-03     1.397150699420e-03     2.095218776438e-03
         52.09013041      -3.44169138e-15     5.825448512413e-03     1.401368630530e-03     2.100213436666e-03
         53.33037161       1.33226763e-15     5.842241251884e-03     1.405271939662e-03     2.104801263449e-03
         54.57061281       1.11022302e-15     5.866236975342e-03     1.408783464772e-03     2.108925368486e-03
         55.81085401       2.22044605e-16     5.897128837105e-03     1.411829592564e-03     2.112531140677e-03
         57.05109521       1.55431223e-15     5.934620948816e-03     1.414371061713e-03     2.115554101374e-03
