# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.100000     2.9364419414e-01     0.0000000000e+00     0.0000000000e+00
    4.150000     3.1434075827e-01     0.0000000000e+00     0.0000000000e+00
    4.200000     5.2415070581e-01    -0.0000000000e+00    -0.0000000000e+00
    4.250000     6.0097436487e-01    -0.0000000000e+00    -0.0000000000e+00
    4.300000     3.8646109066e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     2.0501017472e-01     0.0000000000e+00     0.0000000000e+00
    4.400000     2.1842318414e-01    -0.0000000000e+00    -0.0000000000e+00
    4.450000     2.6485530567e-01     0.0000000000e+00     0.0000000000e+00
    4.500000     2.2449964455e-01     0.0000000000e+00     0.0000000000e+00
    4.550000     1.6396485758e-01     0.0000000000e+00     0.0000000000e+00
    4.600000     1.4394945152e-01     0.0000000000e+00     0.0000000000e+00
    4.650000     2.3858492000e-01     0.0000000000e+00     0.0000000000e+00
    4.700000     4.7347510507e-01     0.0000000000e+00     0.0000000000e+00
    4.750000     6.6538472203e-01     0.0000000000e+00     0.0000000000e+00
    4.800000     5.9798079653e-01     0.0000000000e+00     0.0000000000e+00
    4.850000     3.6807872389e-01     0.0000000000e+00     0.0000000000e+00
    4.900000     2.5776113111e-01     0.0000000000e+00     0.0000000000e+00
    4.950000     3.6215984557e-01     0.0000000000e+00     0.0000000000e+00
    5.000000     5.4573676474e-01    -0.0000000000e+00    -0.0000000000e+00
    5.050000     5.7245745692e-01    -0.0000000000e+00    -0.0000000000e+00
    5.100000     3.4524449990e-01     0.0000000000e+00     0.0000000000e+00
    5.150000     9.3011067419e-02     0.0000000000e+00     0.0000000000e+00
    5.200000     3.9393511917e-02     0.0000000000e+00     0.0000000000e+00
    5.250000     1.0196757833e-01     0.0000000000e+00     0.0000000000e+00
    5.300000     1.2418935310e-01     0.0000000000e+00     0.0000000000e+00
    5.350000     8.5250332403e-02     0.0000000000e+00     0.0000000000e+00
    5.400000     6.3261008227e-02     0.0000000000e+00    -0.0000000000e+00
