# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
         66.97302482       3.66373598e-15     6.472284596105e-03     1.523376365514e-03     2.055334325810e-03
         68.21326602      -2.72004641e-15     6.469182720179e-03     1.576897707608e-03     2.055938051244e-03
         69.45350722       3.44169138e-15     6.465448753573e-03     1.627331128640e-03     2.056629528745e-03
         70.69374842       1.11022302e-16     6.461130564892e-03     1.674037055254e-03     2.057402388502e-03
         71.93398962      -3.77475828e-15     6.456295025307e-03     1.716253330535e-03     2.058243973153e-03
         73.17423082      -5.55111512e-16     6.451008104063e-03     1.753277207039e-03     2.059116642195e-03
         74.41447202       2.22044605e-15     6.445362021132e-03     1.784602690027e-03     2.059983321132e-03
         75.65471322       5.55111512e-16     6.439459439271e-03     1.809819055186e-03     2.060839480560e-03
         76.89495442      -3.44169138e-15     6.433395875753e-03     1.828560506445e-03     2.061690364103e-03
         78.13519562      -9.43689571e-16     6.427241372831e-03     1.840590016354e-03     2.062526222293e-03
         79.37543682      -5.55111512e-17     6.421098771764e-03     1.845727860410e-03     2.063332843885e-03
         80.61567802      -5.60662627e-15     6.415065541137e-03     1.843818521754e-03     2.064107070801e-03
         81.85591922       3.05311332e-15     6.409215310297e-03     1.834854619478e-03     2.064831264235e-03
         83.09616042       1.11022302e-15     6.403611326421e-03     1.819017010382e-03     2.065481829078e-03
         84.33640162      -6.66133815e-16     6.398307583463e-03     1.796560062536e-03     2.066058193249e-03
         85.57664282      -1.66533454e-16     6.393362029648e-03     1.767784701808e-03     2.066556764852e-03
         86.81688402      -1.77635684e-15     6.388855553375e-03     1.733075262212e-03     2.066975476287e-03
         88.05712522       1.44328993e-15     6.384869653427e-03     1.692892122652e-03     2.067337714537e-03
         89.29736642      -1.27675648e-15     6.381466089939e-03     1.647837582350e-03     2.067657824250e-03
         90.53760762      -2.27595720e-15     6.378690627512e-03     1.598616770387e-03     2.067940259623e-03
         91.77784882       1.11022302e-16     6.376573455238e-03     1.545956672727e-03     2.068215256351e-03
         93.01809002       2.10942375e-15     6.375160120466e-03     1.490540866854e-03     2.068477884094e-03
         94.25833122       6.66133815e-16     6.374487328113e-03     1.433134756281e-03     2.068698983868e-03
         95.49857243      -1.33226763e-15     6.374603449510e-03     1.374543692851e-03     2.068870153781e-03
         96.73881363       2.10942375e-15     6.375546256683e-03     1.315575300470e-03     2.068990176484e-03
         97.97905483       5.16253706e-15     6.377332456037e-03     1.257004931313e-03     2.069023689197e-03
         99.21929603      -8.88178420e-16     6.379931562158e-03     1.199650405074e-03     2.068958824344e-03
        100.45953723      -7.21644966e-16     6.383308744535e-03     1.144362078080e-03     2.068785658906e-03
        101.69977843      -4.99600361e-15     6.387436261829e-03     1.091972189785e-03     2.068475548914e-03
        102.94001963      -1.60982339e-15     6.392315316990e-03     1.043200270610e-03     2.068013949874e-03
        104.18026083       3.55271368e-15     6.397937186858e-03     9.986871206440e-04     2.067428621116e-03
        105.42050203      -1.16573418e-15     6.404193327672e-03     9.591332956731e-04     2.066728616521e-03
        106.66074323      -1.11022302e-15     6.410908648469e-03     9.253388964403e-04     2.065850607009e-03
        107.90098443      -1.60982339e-15     6.417924558418e-03     8.978942952051e-04     2.064751152323e-03
        109.14122563      -4.44089210e-16     6.425133575700e-03     8.774471125381e-04     2.063497986434e-03
        110.38146683      -1.11022302e-16     6.432459298805e-03     8.641550747974e-04     2.062233117501e-03
        111.62170803       4.05231404e-15     6.439803265065e-03     8.583164193094e-04     2.061029051209e-03
        112.86194923      -4.44089210e-16     6.447015656558e-03     8.602495932788e-04     2.059891523581e-03
        114.10219043      -7.21644966e-16     6.453932975438e-03     8.701017185864e-04     2.058795712335e-03
        115.34243163       5.27355937e-15     6.460488664040e-03     8.877670662848e-04     2.057717658110e-03
        116.58267283      -3.60822483e-15     6.466671496765e-03     9.132058802699e-04     2.056652286825e-03
        117.82291403      -4.49640325e-15     6.472427379251e-03     9.462173051933e-04     2.055645939686e-03
        119.06315523      -2.77555756e-16     6.477657874953e-03     9.862320953680e-04     2.054745462885e-03
        120.30339643       3.33066907e-15     6.482306341280e-03     1.032608031096e-03     2.053969117362e-03
        121.54363763      -5.55111512e-17     6.486377721448e-03     1.084737441388e-03     2.053309126463e-03
        122.78387883      -3.66373598e-15     6.489893047421e-03     1.141903418972e-03     2.052745683047e-03
        124.02412003      -4.32986980e-15     6.492823604667e-03     1.203203242561e-03     2.052273710923e-03
        125.26436123      -1.11022302e-15     6.495103263010e-03     1.267618399835e-03     2.051874629387e-03
        126.50460243       7.77156117e-16     6.496674706819e-03     1.334116908204e-03     2.051497286322e-03
        127.74484363       1.72084569e-15     6.497533240331e-03     1.401589546573e-03     2.051112430326e-03
        128.98508483       1.66533454e-15     6.497693858257e-03     1.468844660511e-03     2.050756819681e-03
        130.22532603      -7.16093851e-15     6.497154908649e-03     1.534777556751e-03     2.050476224950e-03
        131.46556723      -8.32667268e-16     6.495909803846e-03     1.598417127255e-03     2.050295570324e-03
        132.70580843      -3.44169138e-15     6.493986343111e-03     1.658724184921e-03     2.050221959161e-03
        133.94604964      -3.88578059e-16     6.491448227029e-03     1.714593861548e-03     2.050239920514e-03
        135.18629084      -9.43689571e-16     6.488370285222e-03     1.765053343284e-03     2.050348598628e-03
        136.42653204       1.16573418e-15     6.484738538802e-03     1.809269048186e-03     2.050588054415e-03
        137.66677324       2.77555756e-16     6.480538948718e-03     1.846545078900e-03     2.050965947756e-03
        138.90701444       2.60902411e-15     6.475788556324e-03     1.876165634727e-03     2.051454422377e-03
        140.14725564       2.16493490e-15     6.470534479030e-03     1.897555698660e-03     2.052060216023e-03
        141.38749684       3.83026943e-15     6.464837051841e-03     1.910530541224e-03     2.052809407918e-03
        142.62773804       5.55111512e-17     6.458765279017e-03     1.914916188548e-03     2.053695937832e-03
        143.86797924       3.33066907e-16     6.452382137120e-03     1.910612330924e-03     2.054715278955e-03
        145.10822044      -5.55111512e-17     6.445743758746e-03     1.897641944026e-03     2.055878832673e-03
        146.34846164       3.88578059e-16     6.438900502268e-03     1.876306788017e-03     2.057169766603e-03
        147.58870284       1.11022302e-15     6.431919689351e-03     1.847067209196e-03     2.058572091412e-03
        148.82894404      -6.10622664e-16     6.424882089046e-03     1.810423789710e-03     2.060104327910e-03
        150.06918524       4.99600361e-16     6.417856130838e-03     1.767000484495e-03     2.061769751199e-03
        151.30942644       2.55351296e-15     6.410907989407e-03     1.717585597563e-03     2.063508224191e-03
        152.54966764       2.94209102e-15     6.404136485664e-03     1.662984499891e-03     2.065231257127e-03
        153.78990884      -1.38777878e-15     6.397626467876e-03     1.604048291961e-03     2.066888373619e-03
        155.03015004      -2.33146835e-15     6.391445684400e-03     1.541724834006e-03     2.068440096206e-03
        156.27039124      -2.66453526e-15     6.385679833866e-03     1.477070316586e-03     2.069826748500e-03
        157.51063244       1.11022302e-16     6.380421811011e-03     1.411208928525e-03     2.070969899352e-03
        158.75087364       2.77555756e-16     6.375760399074e-03     1.345220944321e-03     2.071804345949e-03
        159.99111484       3.27515792e-15     6.371781245855e-03     1.280061892064e-03     2.072316665247e-03
        161.23135604      -1.05471187e-15     6.368565771947e-03     1.216644232256e-03     2.072534967837e-03
        162.47159724       4.99600361e-16     6.366193691923e-03     1.155922401651e-03     2.072482718662e-03
        163.71183844       1.94289029e-15     6.364757509518e-03     1.098820808496e-03     2.072195353120e-03
        164.95207964       5.66213743e-15     6.364331494325e-03     1.046172449589e-03     2.071749720089e-03
        166.19232084      -1.94289029e-15     6.364928447093e-03     9.986567768276e-04     2.071193559789e-03
        167.43256204      -2.16493490e-15     6.366598524222e-03     9.568798574868e-04     2.070498022460e-03
        168.67280324      -2.99760217e-15     6.369415181698e-03     9.214579441945e-04     2.069671439456e-03
        169.91304444       8.88178420e-16     6.373369110056e-03     8.928451958443e-04     2.068768689874e-03
        171.15328564       4.21884749e-15     6.378342265860e-03     8.712841087473e-04     2.067836337929e-03
        172.39352685      -1.33226763e-15     6.384197787089e-03     8.569546312565e-04     2.066892431634e-03
        173.63376805      -1.44328993e-15     6.390822433573e-03     8.500311009261e-04     2.065964224130e-03
        174.87400925      -1.22124533e-15     6.398115595116e-03     8.505462301542e-04     2.065063808217e-03
        176.11425045       3.83026943e-15     6.405998310823e-03     8.583918744343e-04     2.064141100039e-03
        177.35449165       9.99200722e-16     6.414400377135e-03     8.734304163411e-04     2.063134973017e-03
        178.59473285       1.05471187e-15     6.423222765308e-03     8.954292339833e-04     2.062060263125e-03
        179.83497405       9.43689571e-16     6.432297750978e-03     9.239733985407e-04     2.060986090438e-03
        181.07521525      -6.38378239e-15     6.441440385631e-03     9.585438570596e-04     2.059955026629e-03
        182.31545645       5.55111512e-17     6.450518868117e-03     9.986335898891e-04     2.058946049448e-03
        183.55569765      -1.60982339e-15     6.459421980958e-03     1.043701517514e-03     2.057909240484e-03
        184.79593885      -1.72084569e-15     6.467999659588e-03     1.093071083160e-03     2.056836288379e-03
        186.03618005      -1.33226763e-15     6.476071714362e-03     1.146006881807e-03     2.055782680877e-03
        187.27642125      -2.33146835e-15     6.483470274041e-03     1.201838114907e-03     2.054815986970e-03
        188.51666245      -5.55111512e-16     6.490073120622e-03     1.259785428550e-03     2.053984879993e-03
        189.75690365      -3.33066907e-16     6.495809228593e-03     1.319064666971e-03     2.053299413681e-03
        190.99714485       3.21964677e-15     6.500567111779e-03     1.378782503977e-03     2.052723370827e-03
        192.23738605       4.27435864e-15     6.504257974575e-03     1.438120203732e-03     2.052288372752e-03
        193.47762725      -1.27675648e-15     6.506831942122e-03     1.496175989390e-03     2.052037703663e-03
        194.71786845       1.05471187e-15     6.508268031396e-03     1.552143927508e-03     2.051937418370e-03
        195.95810965       1.72084569e-15     6.508596983815e-03     1.605264628731e-03     2.051911410145e-03
        197.19835085      -1.88737914e-15     6.507873548953e-03     1.654861648177e-03     2.051988985352e-03
        198.43859205       2.77555756e-16     6.506105831734e-03     1.700129414123e-03     2.052228726932e-03
        199.67883325       1.55431223e-15     6.503292378763e-03     1.740409801910e-03     2.052635086438e-03
        200.91907445       1.66533454e-15     6.499496176776e-03     1.775227515989e-03     2.053161966810e-03
        202.15931565      -1.16573418e-15     6.494827863062e-03     1.804145944943e-03     2.053760888741e-03
        203.39955685      -2.60902411e-15     6.489401282151e-03     1.826774771779e-03     2.054397958485e-03
        204.63979805       4.44089210e-15     6.483319170091e-03     1.842805609444e-03     2.055075193013e-03
        205.88003925      -1.11022302e-15     6.476656649143e-03     1.852000413802e-03     2.055810761743e-03
        207.12028045      -1.72084569e-15     6.469468706298e-03     1.854312841241e-03     2.056569671668e-03
        208.36052165      -3.88578059e-16     6.461800003207e-03     1.849860402954e-03     2.057279437439e-03
        209.60076286      -8.88178420e-16     6.453713835086e-03     1.838710988464e-03     2.057926609529e-03
        210.84100406      -2.55351296e-15     6.445309692566e-03     1.820928694020e-03     2.058545648454e-03
        212.08124526       1.66533454e-16     6.436713817184e-03     1.796735327854e-03     2.059143435234e-03
        213.32148646      -1.11022302e-15     6.428048429179e-03     1.766501484067e-03     2.059692585098e-03
        214.56172766       2.83106871e-15     6.419437201405e-03     1.730787748370e-03     2.060190728836e-03
        215.80196886      -7.21644966e-16     6.411005578057e-03     1.690230557321e-03     2.060674513135e-03
