# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       2.88657986e-15     6.422890086924e-03     1.370700662973e-03     2.066732157173e-03
          1.24024120       5.05151476e-15     6.422904941665e-03     1.370691052697e-03     2.168100652996e-03
          2.48048240      -7.21644966e-16     6.423131079602e-03     1.370611807168e-03     2.262750820128e-03
          3.72072360      -1.55431223e-15     6.423539084913e-03     1.370470535681e-03     2.352012631897e-03
          4.96096480       2.99760217e-15     6.424066270370e-03     1.370272905961e-03     2.436038538931e-03
          6.20120600       2.49800181e-15     6.424559646453e-03     1.370058694349e-03     2.512437653499e-03
          7.44144720      -3.83026943e-15     6.424855474611e-03     1.369873595239e-03     2.580005760835e-03
          8.68168840       4.44089210e-16     6.424925295050e-03     1.369720959945e-03     2.638053328667e-03
          9.92192960       2.27595720e-15     6.424799427229e-03     1.369599748319e-03     2.684961708866e-03
         11.16217080      -1.66533454e-16     6.424437080556e-03     1.369524340648e-03     2.720254804162e-03
         12.40241200       2.77555756e-16     6.423814198408e-03     1.369499811583e-03     2.743708325657e-03
         13.64265320       2.88657986e-15     6.422964408371e-03     1.369523913645e-03     2.755112973452e-03
         14.88289440      -1.16573418e-15     6.421894417937e-03     1.369600640256e-03     2.754653214021e-03
         16.12313560       1.33226763e-15     6.420607425099e-03     1.369732655759e-03     2.742776452106e-03
         17.36337680       3.16413562e-15     6.419175899543e-03     1.369912173379e-03     2.720227624039e-03
         18.60361800      -3.88578059e-16     6.417698495685e-03     1.370114590586e-03     2.687724246005e-03
         19.84385921       3.88578059e-16     6.416220750493e-03     1.370331058649e-03     2.646210717838e-03
         21.08410041       3.60822483e-15     6.414803574705e-03     1.370548358015e-03     2.596721991756e-03
         22.32434161      -2.60902411e-15     6.413498557778e-03     1.370754760501e-03     2.540384002154e-03
         23.56458281       8.32667268e-16     6.412370053310e-03     1.370942932414e-03     2.478342011745e-03
